day,طحين,سكر,زيت,رز,خميرة,ملح,عدس,فول,حمص,تمر,لبن,جبنة,بيض,شاي,قهوة,معكرونة,عسل,سمك,لحم,دجاج,برغل,صلصة,حلاوة,السيرج,سيرج,بطاطا,بندورة,خيار,فلفل,باذنجان
2025-05-31,34.43,13.11,0.0,8.2,0.0,0.0,4.92,1.64,4.92,8.2,0.0,0.0,0.0,0.0,1.64,1.64,1.64,0.0,0.0,0.0,0.0,0.0,3.28,0.0,6.56,0.0,0.0,0.0,0.0,0.0
2025-06-01,35.0,12.5,5.0,2.5,0.0,0.0,12.5,2.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0
2025-06-02,27.91,30.23,2.33,4.65,0.0,0.0,9.3,2.33,2.33,4.65,0.0,0.0,0.0,0.0,6.98,2.33,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,2.33,0.0,0.0,0.0,0.0,0.0
2025-06-03,27.78,20.37,3.7,7.41,0.0,0.0,5.56,1.85,9.26,0.0,0.0,0.0,0.0,0.0,5.56,5.56,1.85,0.0,0.0,0.0,1.85,0.0,1.85,0.0,3.7,0.0,0.0,0.0,0.0,0.0
2025-06-04,60.0,11.43,2.86,5.71,0.0,0.0,0.0,5.71,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,2.86,0.0,5.71,0.0,0.0,0.0,0.0,0.0
2025-06-05,78.72,8.51,2.13,0.0,0.0,0.0,2.13,2.13,2.13,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-06,23.81,58.73,0.0,0.0,0.0,0.0,3.17,0.0,1.59,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35,0.0,0.0,0.0,0.0,0.0
2025-06-07,29.03,64.52,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,1.61,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-08,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-09,24.24,3.03,6.06,3.03,0.0,0.0,3.03,0.0,3.03,12.12,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,36.36,0.0,0.0,0.0,3.03,0.0,0.0,0.0
2025-06-10,41.54,13.85,7.69,3.08,0.0,0.0,7.69,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,7.69,1.54,9.23,0.0,0.0,0.0,0.0,0.0
2025-06-11,47.06,32.35,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,5.88,0.0,0.0,0.0,0.0,0.0
2025-06-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-13,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
